tract_id,ike_2020_mean,ike_2020_sem,ike_2020_ci_lo,ike_2020_ci_hi,ike_2030_mean,ike_2030_sem,ike_2030_ci_lo,ike_2030_ci_hi,ike_2040_mean,ike_2040_sem,ike_2040_ci_lo,ike_2040_ci_hi,fema33_2020_mean,fema33_2020_sem,fema33_2020_ci_lo,fema33_2020_ci_hi,fema33_2030_mean,fema33_2030_sem,fema33_2030_ci_lo,fema33_2030_ci_hi,fema33_2040_mean,fema33_2040_sem,fema33_2040_ci_lo,fema33_2040_ci_hi,fema36_2020_mean,fema36_2020_sem,fema36_2020_ci_lo,fema36_2020_ci_hi,fema36_2030_mean,fema36_2030_sem,fema36_2030_ci_lo,fema36_2030_ci_hi,fema36_2040_mean,fema36_2040_sem,fema36_2040_ci_lo,fema36_2040_ci_hi
10,0.0014715099,4.4935256e-10,0.001471509,0.0014715109,0.0014715099,4.4935256e-10,0.001471509,0.0014715109,0.0014715099,4.4935256e-10,0.001471509,0.0014715109,0.0014715099,4.4935256e-10,0.001471509,0.0014715109,0.0014715099,4.4935256e-10,0.001471509,0.0014715109,0.0014715099,4.4935256e-10,0.001471509,0.0014715109,0.001898114,4.514416e-05,0.0018096315,0.0019865965,0.0018117013,4.074831e-05,0.0017318346,0.0018915681,0.0018842306,4.4670767e-05,0.001796676,0.0019717854
11,0.01809013,0.0017047925,0.014748737,0.021431524,0.022915583,0.0019239485,0.019144643,0.026686523,0.02409136,0.001967542,0.020234976,0.027947742,0.02038289,0.0018263302,0.016803283,0.023962498,0.027161833,0.002071652,0.023101395,0.03122227,0.029014332,0.0021269822,0.024845447,0.033183217,0.02001988,0.0017975282,0.016496724,0.023543036,0.026258217,0.0020520964,0.022236109,0.030280326,0.02697104,0.0020684483,0.022916881,0.0310252
12,0.0035203537,0.00022769795,0.0030740658,0.0039666416,0.0039906343,0.00025095974,0.0034987533,0.0044825156,0.0041235285,0.00024861706,0.003636239,0.004610818,0.0038204417,0.00024377798,0.0033426369,0.0042982465,0.004565201,0.00028056992,0.0040152837,0.005115118,0.0046388987,0.00027419635,0.004101474,0.0051763235,0.003772126,0.00023980903,0.0033021003,0.004242152,0.0043956074,0.00026911212,0.0038681477,0.004923067,0.0045049964,0.0002692023,0.0039773597,0.005032633
13,0.00034752474,2.7624134e-11,0.00034752468,0.0003475248,0.00034905563,1.53089e-06,0.00034605508,0.00035205617,0.00034752474,2.7624134e-11,0.00034752468,0.0003475248,0.00034752474,2.7624134e-11,0.00034752468,0.0003475248,0.00034752474,2.7624134e-11,0.00034752468,0.0003475248,0.00034905563,1.53089e-06,0.00034605508,0.00035205617,0.00034752474,2.7624134e-11,0.00034752468,0.0003475248,0.00034905563,1.53089e-06,0.00034605508,0.00035205617,0.00034905563,1.53089e-06,0.00034605508,0.00035205617
14,0.0028321354,1.4069251e-05,0.0028045597,0.0028597112,0.0035526736,4.2665146e-05,0.00346905,0.0036362973,0.004000255,5.5807977e-05,0.0038908713,0.0041096387,0.0031017028,2.9927722e-05,0.0030430444,0.0031603612,0.0038840214,7.216007e-05,0.0037425878,0.004025455,0.004500877,0.00014137875,0.0042237747,0.0047779796,0.0037070308,4.8934256e-05,0.0036111197,0.0038029419,0.0047511626,0.00014598569,0.0044650305,0.0050372947,0.007255168,0.00032659172,0.0066150483,0.007895288
15,0.13367201,0.0035569652,0.12670036,0.14064367,0.12065627,0.0027061487,0.11535221,0.12596032,0.13264121,0.0025442492,0.12765448,0.13762794,0.16758652,0.0038586261,0.16002361,0.17514943,0.14715466,0.003084284,0.14110947,0.15319985,0.15567587,0.0027335768,0.15031806,0.16103369,0.30270898,0.0048536216,0.29319587,0.3122221,0.29084486,0.0046830405,0.2816661,0.30002362,0.31037894,0.004548128,0.30146462,0.31929326
16,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155,0.0012413146,4.5671902e-10,0.0012413136,0.0012413155
17,0.012284343,0.0003645102,0.011569903,0.012998783,0.008582669,0.00026498927,0.00806329,0.009102048,0.0068464875,0.00020946756,0.006435931,0.007257044,0.013343552,0.00039441505,0.0125704985,0.014116606,0.009354273,0.00028548547,0.008794721,0.0099138245,0.007430185,0.00023034008,0.0069787186,0.007881652,0.030954465,0.00083006953,0.029327529,0.0325814,0.024189208,0.0006517763,0.022911726,0.02546669,0.020021157,0.00054221967,0.018958407,0.021083908
18,0.0019649204,2.3546047e-06,0.0019603055,0.0019695354,0.0021028477,6.805754e-05,0.0019694548,0.0022362405,0.0024355839,0.00013622097,0.0021685907,0.002702577,0.0019649204,2.3546047e-06,0.0019603055,0.0019695354,0.002242978,0.000118457,0.0020108023,0.0024751537,0.0025848874,0.00015818945,0.0022748362,0.0028949387,0.0019649204,2.3546047e-06,0.0019603055,0.0019695354,0.0022470164,0.000117347445,0.0020170154,0.0024770175,0.0026247224,0.00015859358,0.002313879,0.0029355658
19,0.0009889507,1.0556402e-05,0.00096826017,0.0010096412,0.0010673044,2.6449066e-05,0.0010154642,0.0011191446,0.0012781303,8.463125e-05,0.001112253,0.0014440076,0.0011815007,9.7881326e-05,0.0009896533,0.0013733482,0.0011719468,4.6837922e-05,0.0010801444,0.0012637491,0.0017615261,0.00013561972,0.0014957115,0.0020273407,0.011118301,0.00064818346,0.009847862,0.012388741,0.012121511,0.00054442714,0.011054434,0.0131885875,0.015929172,0.0006289935,0.014696345,0.017161999
20,0.005302795,0.00023987127,0.0048326477,0.0057729427,0.005181511,0.00023246226,0.0047258846,0.005637137,0.004092165,0.00013655647,0.003824514,0.0043598153,0.009874083,0.0004341887,0.009023073,0.010725093,0.010560489,0.00044573567,0.009686847,0.011434131,0.008875816,0.00036135197,0.008167567,0.0095840655,0.016302159,0.00058815477,0.015149375,0.017454943,0.016992219,0.00058409845,0.015847385,0.018137053,0.013987389,0.0005084613,0.012990805,0.0149839735
21,0.00071192393,5.9475783e-06,0.0007002667,0.0007235812,0.002975233,0.00040676395,0.0021779756,0.0037724902,0.020985473,0.0012587386,0.018518345,0.0234526,0.00073481025,8.308182e-06,0.0007185262,0.0007510943,0.0044673462,0.0005470072,0.003395212,0.0055394806,0.03397986,0.0015998471,0.03084416,0.03711556,0.04817897,0.0019628603,0.044331763,0.05202618,0.097222015,0.002282945,0.09274744,0.10169659,0.13750504,0.0020939284,0.13340095,0.14160913
